Country,Year_1,Month_1,type,Event Category,EventDescription
Argentina,2016,October,Resistance,Nonviolent protest,"Tens of thousands of women marched in Buenos Aires (and inspired similar concurrent protests in other countries in Latin America) after the murder of a pregnant 14-year-old girl in 2015; the protest was part of the larger #NotOneLess (#NiUnaMenos) movement against femicide and violence against women 
"
Argentina,2016,December,Precursor,Horizontal corruption,Former Argentine President Cristina Fern?ndez de Kirchner was indicted on charges she ran a corruption scheme with a public works secretary who was arrested while trying to stash millions of dollars in a convent
Argentina,2016,Unknown,Resistance,State attempts to prevent backsliding,The Macri government reformed the National Institute of Statistics and Censuses to make it conform with international standards
Argentina,2016,NA,Resistance,Increase in media protections/media liberalization,Macri has held regular press conferences and reduced the state role in advertising.
Argentina,2017,March,Resistance,State attempts to prevent backsliding,"President Macri pushed for a corruption investigation of Kirchner, and also allowed an investigation into his own affairs in an effort to promote accountability."
Argentina,2017,November,Resistance,State attempts to prevent backsliding,"The nation modified its electoral law, stating that the list of candidates for the National Congress and Parliament must be carried out by placing interspersed men and women on the ballot from the first candidate to the last candidate. Ultimately, this takes female representation on the electoral lists to 50%, improving opportunities for representation in government."
Argentina,2017,December,Precursor,State-conducted violence or abuse,"The police fought against protesters with tear gas and rubber bullets, with 88 police officers and 74 protesters injured in the process"
Argentina,2017,December,Resistance,Violent protest,"The debate over a new pension bill turns violent as protesters throwing stones clash with police who respond with water cannons, rubber bullets, and tear gas
"
Argentina,2017,December,Precursor,Economic shocks and health shocks,The government passed a reform bill that reduces government spending by 60 billion pesos through the rollback of pension payments
Argentina,2018,June,Precursor,Economic shocks and health shocks,Government asked for the early release of a $50 billion loan from the IMF amid a growing monetary crisis
Argentina,2018,August,Resistance,Check on executive by judiciary,Former vice president Amado Boudou was sentenced to five years and ten months in prison for money laundering and racketeering
Argentina,2018,August,Precursor,Economic shocks and health shocks,"Argentina experienced a severe devaluation of its currency, the Argentinian peso"
Argentina,2018,August,Precursor,Horizontal corruption,"Former vice president Amado Boudou, who was accused of using shell companies and middlemen to seize control of a company given contracts to print local currency, was sentenced to five years in jail but released on bail only after four months."
Argentina,2018,September,Resistance,Nonviolent protest,Thousands of people protested in Buenos Aires against austerity measures by President Mauricio Macri
Argentina,2019,September,Resistance,Nonviolent protest,Thousands of Argentinians demonstrated against the handling of the food shortage crisis by the Macri government
Argentina,2019,December,Symptom,Suspension of laws or the constitution,"Congress granted former President Fern?ndez emergency powers over a variety of economic affairs for one year, giving him the ability to levy new taxes, determine wages, and negotiate with foreign investors."
Argentina,2019,December,Precursor,Vertical corruption,Former President Cristina Kirchner was brought to court to testify in a corruption case. She is alleged to have diverted $1.2b of public funds to hide Iranian officials' involvement in the 1994 bombing of a Jewish civics center in exchange for access to oil and other natural resources.
Argentina,2019,December,Symptom,Suspension of laws or the constitution,"The congress approved emergency powers to President Alberto Fernandez for one year, allowing him vast decree power over more economic matters in order to relieve economic crisis"
Argentina,2019,Unknown,Precursor,Lack of legitimacy,A Pew Research Center study found that 83% of Argentinians believed that their economy is in bad shape and 61% were discontent with the state of their democracy
Argentina,2019,Unknown,Precursor,Economic shocks and health shocks,Argentina experienced a food shortage crisis even though it is an agriculture exporter
